Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"30th St. Men's Shelter, NYC DHS // 30TH STREET DIVERSION UNIT, Adult Shelter",30th St. Men's Shelter, NYC DHS // 30TH STREET DIVERSION UNIT, Adult Shelter,219904.0,Adult Shelter,Manhattan,XX-xx WEST 52 LLC,0.0,0.0,0.0,0.0,{'lat': 40.740548 'lng': -73.9741672},40.740548,-73.9741672
"Schwartz Assessment, Volunteers Of America, Adult Shelter // Schwartz - CSS",Schwartz Assessment, Volunteers Of America, Adult Shelter // Schwartz - CSS,206088.0,Adult Shelter,Manhattan,PARKS AND RECREATION,0.0,0.0,0.0,0.0,{'lat': 40.7843174 'lng': -73.9318874},40.7843174,-73.9318874
"Clarke Thomas Men's Shelter, HELP USA, Adult Shelter",Clarke Thomas Men's Shelter, HELP USA, Adult Shelter,1647.0,Adult Shelter,Manhattan,NYC Owned (Parks),0.0,0.0,0.0,0.0,{'lat': 40.7860242 'lng': -73.9284389},40.7860242,-73.9284389
"HELP SEC, HELP USA, Adult Shelter",HELP SEC, HELP USA, Adult Shelter,1606.0,Adult Shelter,Manhattan,NYC Owned,0.0,2.0,2.0,0.0,{'lat': 40.7861296 'lng': -73.9323086},40.7861296,-73.9323086
"HELP SEC, HELP USA, Adult Shelter",HELP SEC, HELP USA, Adult Shelter,1650.0,Adult Shelter,Manhattan,NYC Owned (Parks),0.0,0.0,0.0,0.0,{'lat': 40.7861296 'lng': -73.9323086},40.7861296,-73.9323086
"HELP SEC, HELP USA, Adult Shelter",HELP SEC, HELP USA, Adult Shelter,1648.0,Adult Shelter,Manhattan,NYC Owned (Parks),0.0,0.0,0.0,0.0,{'lat': 40.7861296 'lng': -73.9323086},40.7861296,-73.9323086
"HELP SEC, HELP USA, Adult Shelter",HELP SEC, HELP USA, Adult Shelter,1609.0,Adult Shelter,Manhattan,NYC Owned (Parks),1.0,0.0,1.0,0.0,{'lat': 40.7861296 'lng': -73.9323086},40.7861296,-73.9323086
"HELP SEC, HELP USA, Adult Shelter",HELP SEC, HELP USA, Adult Shelter,18795.0,Adult Shelter,Manhattan,NYC Owned (Parks),9.0,0.0,9.0,0.0,{'lat': 40.7861296 'lng': -73.9323086},40.7861296,-73.9323086
"Julio's Place, Acacia Network Housing, Adult Shelter",Julio's Place, Acacia Network Housing, Adult Shelter,18797.0,Adult Shelter,Manhattan,NYC Owned (Parks),13.0,0.0,13.0,0.0,{'lat': 40.8098367 'lng': -73.9446626},40.8098367,-73.9446626
"Julio's Place, Acacia Network Housing, Adult Shelter",Julio's Place, Acacia Network Housing, Adult Shelter,18804.0,Adult Shelter,Manhattan,NYC Owned (Parks),6.0,0.0,6.0,0.0,{'lat': 40.8098367 'lng': -73.9446626},40.8098367,-73.9446626
"Valley Lodge, West Side Federation for Senior and Supportive Housing, Adult Shelter",Valley Lodge, West Side Federation for Senior and Supportive Housing, Adult Shelter,18806.0,Adult Shelter,Manhattan,NYC Owned (Parks),7.0,0.0,7.0,0.0,{'lat': 40.7887062 'lng': -73.9799037},40.7887062,-73.9799037
"Borden Veteran Shelter Institute For Community Living Adult Shelter // Borden Ave Veterans Shelter, Institute For Community Living, Adult Shelter",Borden Veteran Shelter Institute For Community Living Adult Shelter // Borden Ave Veterans Shelter, Institute For Community Living, Adult Shelter,1626.0,Adult Shelter,Manhattan,NBX ACQUISITION LLC,0.0,0.0,0.0,0.0,{'lat': 40.7085322 'lng': -74.0149119},40.7085322,-74.0149119
"Pam's Place, Acacia Network Housing, Adult Shelter",Pam's Place, Acacia Network Housing, Adult Shelter,1627.0,Adult Shelter,Manhattan,NBX ACQUISITION LLC,0.0,0.0,0.0,0.0,{'lat': 40.7520873 'lng': -73.93548229999999},40.7520873,-73.9354823
"Cooper Rapid Re-Housing Center, Westhab Inc, Adult Shelter",Cooper Rapid Re-Housing Center, Westhab Inc, Adult Shelter,518400.0,Adult Shelter,Manhattan,VALLEY LODGE HSNG ETC,0.0,0.0,0.0,0.0,{'lat': 40.7073685 'lng': -73.8728718},40.7073685,-73.8728718
"College Point Rapid Rehousing, Westhab Inc, Adult Shelter",College Point Rapid Rehousing, Westhab Inc, Adult Shelter,1654.0,Adult Shelter,Queens,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.786395 'lng': -73.8389657},40.786395,-73.8389657
"xxx YMCA Annex, Samaritan Daytop Village, Adult Shelter",xxx YMCA Annex, Samaritan Daytop Village, Adult Shelter,58896.0,Adult Shelter,Queens,X MANAGEMENT LLC,1.0,0.0,1.0,0.0,{'lat': 40.7061874 'lng': -73.7878495},40.7061874,-73.7878495
"Laurel Hall, Lantern Community Services, Adult Shelter",Laurel Hall, Lantern Community Services, Adult Shelter,230657.0,Adult Shelter,Queens,X COOPER AVENUE LLC,0.0,0.0,0.0,0.0,{'lat': 40.68224 'lng': -73.8540249},40.68224,-73.8540249
"Queens Boulevard Rapid Rehousing, Westhab Inc, Adult Shelter",Queens Boulevard Rapid Rehousing, Westhab Inc, Adult Shelter,222209.0,Adult Shelter,Queens,XX 20TH AVE LLC,0.0,0.0,0.0,0.0,{'lat': 40.7341715 'lng': -73.8735279},40.7341715,-73.8735279
"Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter",Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter,494616.0,Adult Shelter,Queens,YMCA OF GREATER N Y,0.0,1.0,0.0,1.0,{'lat': 40.6884171 'lng': -73.8134057},40.6884171,-73.8134057
"Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter",Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter,214018.0,Adult Shelter,Queens,X REALTY GROUP LLC,1.0,1.0,0.0,2.0,{'lat': 40.6884171 'lng': -73.8134057},40.6884171,-73.8134057
"Bob's Place, SCO Family Services, Adult Shelter",Bob's Place, SCO Family Services, Adult Shelter,575239.0,Adult Shelter,Queens,x Q HSNG DVLPMT FND CRP,0.0,0.0,0.0,0.0,{'lat': 40.702062 'lng': -73.740606},40.702062,-73.740606
"Jamaica Women Employment Shelter, Volunteers Of America, Adult Shelter",Jamaica Women Employment Shelter, Volunteers Of America, Adult Shelter,554593.0,Adult Shelter,Queens,AM HOTEL CORP,0.0,0.0,0.0,0.0,{'lat': 40.7173842 'lng': -73.7376495},40.7173842,-73.7376495
"SKYWAY SHELTER, Acacia Network Housing, Adult Shelter",SKYWAY SHELTER, Acacia Network Housing, Adult Shelter,1028.0,Adult Shelter,Queens,YMCA OF GREATER N Y,0.0,0.0,0.0,0.0,{'lat': 40.6658366 'lng': -73.8073314},40.6658366,-73.8073314
"Amani House, Black Veterans for Social Justice, Adult Shelter",Amani House, Black Veterans for Social Justice, Adult Shelter,1632.0,Adult Shelter,Queens,H & G HOTEL CORP,2.0,0.0,2.0,0.0,{'lat': 40.6806904 'lng': -73.97778400000001},40.6806904,-73.977784
"BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel",BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel,521729.0,Adult Shelter,Queens,28 ST NY LC,1.0,2.0,1.0,2.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BRONX HOTELS, Acacia Network Housing, Shelter",BRONX HOTELS, Acacia Network Housing, Shelter,1635.0,Adult Shelter,Queens,WEST CANYON LLC C/O J,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel",BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel,233473.0,Adult Shelter,Queens,XX BEACH 101 LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel",BRONX HOTELS, Acacia Network Housing, Family Commercial Hotel,544256.0,Family Commercial Hotel,Bronx,"RTN RLTY LLC, A NJ LMTD LBLTY CRP",0.0,8.0,0.0,8.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel",CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel,535552.0,Family Commercial Hotel,Bronx,XX HOTEL LLC,2.0,1.0,2.0,1.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"Samaritan Village Brooklyn Hotels, Samaritan Daytop Village, Family Commercial Hotel",Samaritan Village Brooklyn Hotels, Samaritan Daytop Village, Family Commercial Hotel,535355.0,Family Commercial Hotel,Bronx,"RTN RLTY LLC , A NJ LMTD LBLTY CRP",0.0,0.0,0.0,0.0,{'lat': 40.6959995 'lng': -73.9418144},40.6959995,-73.9418144
"ACACIA BROOKLYN HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA BROOKLYN HOTELS, Acacia Network Housing, Family Commercial Hotel,535552.0,Family Commercial Hotel,Bronx,XX HOTEL LLC,1.0,0.0,0.0,1.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel",CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel,540160.0,Family Commercial Hotel,Bronx,X B BLVD LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel",MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel,539136.0,Family Commercial Hotel,Brooklyn,Atlantic Avenue Properties,4.0,0.0,0.0,4.0,{'lat': 40.75434389999999 'lng': -73.9931113},40.7543439,-73.9931113
"Samaritan Village FWC - Manhattan Hotels, Samaritan Daytop Village, Family Commercial Hotel",Samaritan Village FWC - Manhattan Hotels, Samaritan Daytop Village, Family Commercial Hotel,533508.0,Family Commercial Hotel,Brooklyn,X CK ST LLC,1.0,0.0,1.0,0.0,{'lat': 40.6959995 'lng': -73.9418144},40.6959995,-73.9418144
"MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel",MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel,540416.0,Family Commercial Hotel,Manhattan,EL CORPORATION,1.0,0.0,0.0,1.0,{'lat': 40.75434389999999 'lng': -73.9931113},40.7543439,-73.9931113
"MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel",MANHATTAN HOTELS, Acacia Network Housing, Family Commercial Hotel,69377.0,Family Commercial Hotel,Manhattan,X WEST 181 ASSOCIAT,15.0,8.0,7.0,16.0,{'lat': 40.75434389999999 'lng': -73.9931113},40.7543439,-73.9931113
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,548865.0,Family Commercial Hotel,Manhattan,"WW HOTEL, LLC",6.0,0.0,0.0,6.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel",Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel,531202.0,Family Commercial Hotel,Manhattan,ES INN,11.0,0.0,10.0,1.0,{'lat': 40.8266945 'lng': -73.9207661},40.8266945,-73.9207661
"Samaritan Village Queens Hotels, Samaritan Daytop Village, Family Commercial Hotel",Samaritan Village Queens Hotels, Samaritan Daytop Village, Family Commercial Hotel,86785.0,Family Commercial Hotel,Manhattan,"PICCADILLY HOTEL CO.,",81.0,5.0,47.0,39.0,{'lat': 40.701834 'lng': -73.815311},40.701834,-73.815311
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,545280.0,Family Commercial Hotel,Queens,XX HOSPITALITY LLC,3.0,0.0,2.0,1.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,549165.0,Family Commercial Hotel,Queens,X HOSPITALITY LLC,0.0,2.0,0.0,2.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"BPHN Family Queens Hotels, BRONX PARENT HOUSING NETWORK, Family Commercial Hotel",BPHN Family Queens Hotels, BRONX PARENT HOUSING NETWORK, Family Commercial Hotel,539648.0,Family Commercial Hotel,Queens,"KRSH HOSP, LLC",2.0,0.0,1.0,1.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"BPHN Family Queens Hotels, BRONX PARENT HOUSING NETWORK, Family Commercial Hotel",BPHN Family Queens Hotels, BRONX PARENT HOUSING NETWORK, Family Commercial Hotel,536320.0,Family Commercial Hotel,Queens,SMCOM X DE LLC,9.0,0.0,0.0,9.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,539141.0,Family Commercial Hotel,Queens,X MGMT LLC,2.0,0.0,0.0,2.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,556912.0,Family Commercial Hotel,Queens,"JFK LAND ACQUISITION, L.P.",3.0,0.0,0.0,3.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel",ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel,547331.0,Family Commercial Hotel,Queens,LB HOSPITALITY LLC,0.0,2.0,0.0,2.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel",Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel,547840.0,Family Commercial Hotel,Queens,PTKN HLD LLC,0.0,2.0,0.0,2.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel",CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel,535808.0,Family Commercial Hotel,Queens,SUPERIOR REDDING HOLDING LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel",CRF BRONX HOTELS, Children's Rescue Fund LLC, Family Commercial Hotel,570848.0,Family Commercial Hotel,Queens,"PR HOSP, LLC",0.0,8.0,0.0,8.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"SHELTER, FAMILY CENTER ASSOCIATES, Family Late Arrival",SHELTER, FAMILY CENTER ASSOCIATES, Family Late Arrival,549166.0,Family Commercial Hotel,Queens,GOLDMINE MANAGEMENT LLC,6.0,3.0,0.0,9.0,{'lat': 40.7067565 'lng': -73.7998727},40.7067565,-73.7998727
"BOYNTON LATE ARRIVAL, CHARLES ABRAMSON, Family Late Arrival",BOYNTON LATE ARRIVAL, CHARLES ABRAMSON, Family Late Arrival,540672.0,Family Commercial Hotel,Queens,,1.0,0.0,0.0,1.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"JACKIE'S PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter",JACKIE'S PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter,536064.0,Family Commercial Hotel,Queens,X DEV LLC,6.0,1.0,0.0,7.0,{'lat': 40.762825 'lng': -73.915459},40.762825,-73.915459
"Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,35591.0,Family Late Arrival,Bronx,X FAILE REALTY LLC  ,7.0,0.0,3.0,4.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,1535.0,Family Late Arrival,Bronx,X BOYNTON LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",Life Together Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,175628.0,Family Shelter,Bronx,X COURTLANDT LLC   ,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"PROMISE PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter",PROMISE PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter,175976.0,Family Shelter,Bronx,X WEBSTER LLC   ,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"WALTON HOTEL, Kalman Tabak, Family Shelter",WALTON HOTEL, Kalman Tabak, Family Shelter,175975.0,Family Shelter,Bronx,X WEBSTER LLC   ,1.0,0.0,1.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"UNIVERSITY FAM CTR, Volunteers Of America, Family Shelter",UNIVERSITY FAM CTR, Volunteers Of America, Family Shelter,175974.0,Family Shelter,Bronx,X WEBSTER LLC   ,0.0,0.0,0.0,0.0,{'lat': 40.8055581 'lng': -73.8571319},40.8055581,-73.8571319
"UNIVERSITY HEIGHTS, BRONX PARENT HOUSING NETWORK, Family Shelter",UNIVERSITY HEIGHTS, BRONX PARENT HOUSING NETWORK, Family Shelter,217345.0,Family Shelter,Bronx,S Z REALTY CORP,0.0,0.0,0.0,0.0,{'lat': 40.8574661 'lng': -73.90965},40.8574661,-73.90965
"BRIDGE HAVEN, Samaritan Daytop Village, Family Shelter",BRIDGE HAVEN, Samaritan Daytop Village, Family Shelter,1382.0,Family Shelter,Bronx,X WALTON LLC   ,3.0,0.0,0.0,3.0,{'lat': 40.8404201 'lng': -73.92593509999999},40.8404201,-73.9259351
"JACKSON FAMILY RESID, Bronx Works, Family Shelter",JACKSON FAMILY RESID, Bronx Works, Family Shelter,1050.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8055755 'lng': -73.91342949999999},40.8055755,-73.9134295
"KETTY'S PLACE, Acacia Network Housing, Family Shelter",KETTY'S PLACE, Acacia Network Housing, Family Shelter,231425.0,Family Shelter,Bronx,HIGHBRIDGE APARTMENTS ESTATES LLC,1.0,2.0,3.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"WILLOW AVENUE FAMILY RESID, Bronx Works, Family Shelter",WILLOW AVENUE FAMILY RESID, Bronx Works, Family Shelter,1142.0,Family Shelter,Bronx,"MERRIAM, LLC.",0.0,0.0,0.0,0.0,{'lat': 40.8023271 'lng': -73.9127857},40.8023271,-73.9127857
"WALES FAMILY RESIDENCE, Acacia Network Housing, Family Shelter",WALES FAMILY RESIDENCE, Acacia Network Housing, Family Shelter,1038.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"SENECA HOUSES, SEBCO Development Corp., Family Shelter",SENECA HOUSES, SEBCO Development Corp., Family Shelter,1144.0,Family Shelter,Bronx,JACKSON AVENUE DEVELOPMENT LLC,0.0,0.0,0.0,0.0,{'lat': 40.8189614 'lng': -73.8878392},40.8189614,-73.8878392
"THERESA HAVEN, Family Support System, Family Shelter",THERESA HAVEN, Family Support System, Family Shelter,1053.0,Family Shelter,Bronx,WILLOW LLC,1.0,0.0,1.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"HENWOOD PLACE, Acacia Network Housing, Family Shelter",HENWOOD PLACE, Acacia Network Housing, Family Shelter,1147.0,Family Shelter,Bronx,MY NYC LLC,0.0,1.0,0.0,1.0,{'lat': 40.84743 'lng': -73.9095502},40.84743,-73.9095502
"New Life Family Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",New Life Family Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,1044.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8190429 'lng': -73.8658636},40.8190429,-73.8658636
"NELSON FAM RESID, Bronx Works, Family Shelter",NELSON FAM RESID, Bronx Works, Family Shelter,1049.0,Family Shelter,Bronx,X CRESTON AVE ASSOC LP,0.0,0.0,0.0,0.0,{'lat': 40.8154183 'lng': -73.9151832},40.8154183,-73.9151832
"CROSS BRONX RESIDENCE, Ben Berger, Family Shelter",CROSS BRONX RESIDENCE, Ben Berger, Family Shelter,1394.0,Family Shelter,Bronx,"PROMESA FOUNDATION, INC.",0.0,0.0,0.0,0.0,{'lat': 40.8345632 'lng': -73.8658904},40.8345632,-73.8658904
"CROTONA INN, SCO Family Services, Family Shelter",CROTONA INN, SCO Family Services, Family Shelter,176387.0,Family Shelter,Bronx,X GRAND CONCOURSE LLC  ,1.0,0.0,1.0,0.0,{'lat': 40.8458491 'lng': -73.88617789999999},40.8458491,-73.8861779
"Dona Elsie Family Shelter, Highland Park Development Corp., Family Shelter",Dona Elsie Family Shelter, Highland Park Development Corp., Family Shelter,1047.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8220329 'lng': -73.93046559999999},40.8220329,-73.9304656
"VOA FAMILY RESIDENCE, Volunteers Of America, Family Shelter",VOA FAMILY RESIDENCE, Volunteers Of America, Family Shelter,1366.0,Family Shelter,Bronx,CROSS BRONX RESIDENCE INC,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"West Farms Family Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",West Farms Family Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,1051.0,Family Shelter,Bronx,THIRDVIEW LLC,1.0,0.0,1.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"FREEMAN FAM RESID, SEBCO Development Corp., Family Shelter",FREEMAN FAM RESID, SEBCO Development Corp., Family Shelter,509706.0,Family Shelter,Bronx,X 31 FULTON AVE OWNER ,1.0,0.0,1.0,0.0,{'lat': 40.830152 'lng': -73.8923566},40.830152,-73.8923566
"WEBSTER FAMILY RESIDENCE, BRONX FAMILY HOUSING, Family Shelter",WEBSTER FAMILY RESIDENCE, BRONX FAMILY HOUSING, Family Shelter,1041.0,Family Shelter,Bronx,EAST 175TH ST HSG DEV CP,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"TREMONT PLAZA FAMILY RESIDENCE, BRONX FAMILY HOUSING, Family Shelter",TREMONT PLAZA FAMILY RESIDENCE, BRONX FAMILY HOUSING, Family Shelter,176385.0,Family Shelter,Bronx,RRW REALTY CORP,1.0,0.0,1.0,0.0,{'lat': 40.8485024 'lng': -73.9003113},40.8485024,-73.9003113
"GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter",GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter,1048.0,Family Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8342872 'lng': -73.9013247},40.8342872,-73.9013247
"GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter",GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter,1389.0,Family Shelter,Bronx,WEBSTER TREMONT EQUITIES  CORP,0.0,1.0,1.0,0.0,{'lat': 40.8342872 'lng': -73.9013247},40.8342872,-73.9013247
"GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter",GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter,1387.0,Family Shelter,Bronx,PARK OVERLOOK INC,0.0,0.0,0.0,0.0,{'lat': 40.8342872 'lng': -73.9013247},40.8342872,-73.9013247
"GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter",GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter,1132.0,Family Shelter,Bronx,FIVE STAR REATLY & MANAGEMENT LLC,0.0,0.0,0.0,0.0,{'lat': 40.8342872 'lng': -73.9013247},40.8342872,-73.9013247
"HELP - BRONX CROTONA II, HELP USA, Family Shelter",HELP - BRONX CROTONA II, HELP USA, Family Shelter,1136.0,Family Shelter,Bronx,THE BRONX APARTMENT LLC,0.0,0.0,0.0,0.0,{'lat': 40.84071549999999 'lng': -73.8910779},40.8407155,-73.8910779
"THORPE RESIDENCE, Nazareth Housing, Family Shelter",THORPE RESIDENCE, Nazareth Housing, Family Shelter,1135.0,Family Shelter,Bronx,THE BRONX APARTMENTS LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BRONX BRIDGE 1, Kalman Tabak, Family Shelter",BRONX BRIDGE 1, Kalman Tabak, Family Shelter,1134.0,Family Shelter,Bronx,THE BRONX APARTMENTS LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CONCOURSE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter",CONCOURSE FAMILY RESIDENCE, Home/Life Services Inc., Family Shelter,1146.0,Family Shelter,Bronx,X EAST 178 LLC  ,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"SAMMON B.U.I.L.D. CT, Tolentine Zeiser Community Life Center, Family Shelter",SAMMON B.U.I.L.D. CT, Tolentine Zeiser Community Life Center, Family Shelter,1035.0,Family Shelter,Bronx,CROTONA THORPE HDFC,0.0,0.0,0.0,0.0,{'lat': 40.8596923 'lng': -73.9048956},40.8596923,-73.9048956
"Briggs Housing Residence, BRONX PARENT HOUSING NETWORK, Family Shelter",Briggs Housing Residence, BRONX PARENT HOUSING NETWORK, Family Shelter,1392.0,Family Shelter,Bronx,X EAST TREMONT LLC  ,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CRF Hope House, Children's Rescue Fund LLC, Shelter",CRF Hope House, Children's Rescue Fund LLC, Shelter,1367.0,Family Shelter,Bronx,CONCOURSE RESIDENCE CORP.,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"CONCOURSE HSE, Fordham Bedford Housing Corp., Family Shelter",CONCOURSE HSE, Fordham Bedford Housing Corp., Family Shelter,1043.0,Family Shelter,Bronx,SAMMON-BUILD CENTER/ETC,0.0,0.0,0.0,0.0,{'lat': 40.8316761 'lng': -73.9227554},40.8316761,-73.9227554
"BOYNTON FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter",BOYNTON FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter,176386.0,Family Shelter,Bronx,BRIGGS REALTY LLC,0.0,0.0,0.0,0.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"MANOR FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter",MANOR FAMILY RESIDENCE, New Hope Transitional Housing Inc., Family Shelter,509866.0,Family Shelter,Bronx,X DEV LLC,0.0,1.0,0.0,1.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
